"FMAID","anatomicalSite"
"fma286305","Vermilion complex"
"fma305944","Region of vermilion"
"fma313009","Right nasal sill"
"fma313011","Left nasal sill"
"fma317809","Temporal part proper of head"
"fma319532","Right angle of mouth"
"fma319534","Left angle of mouth"
"fma320472","Right temple"
"fma320474","Left temple"
"fma320503","Right parietal wall of head proper"
"fma320505","Left parietal wall of head proper"
"fma321021","Right paravertebral region of back of neck"
"fma321022","Left paravertebral region of back of neck"
"fma321969","Right chirocarpal region"
"fma321970","Left chirocarpal region"
"fma322168","Right retro-auricular part of head"
"fma322169","Left retro-auricular part of head"
"fma322340","Region of anterior part of elbow"
"fma322617","Lateral part of elbow"
"fma322620","Medial part of elbow"
"fma46450","Temple region of temporal part of head"
"fma46488","Cheek proper"
"fma46491","Lateral part of cheek"
"fma53637","Right cheek"
"fma53638","Left cheek"
"fma53641","Right ear"
"fma53642","Left ear"
"fma53643","Right external ear"
"fma53644","Left external ear"
"fma54440","Right upper eyelid"
"fma54441","Left upper eyelid"
"fma54443","Right lower eyelid"
"fma54444","Left lower eyelid"
"fma56580","Pinna"
"fma58825","Right auricular part of head"
"fma58826","Left auricular part of head"
"fma59521","Right ala of nose"
"fma59522","Left ala of nose"
"fma59816","Lip"
"fma59824","Vermilion"
"fma60960","Subdivision of pinna"
"fma60965","Infra-orbital part of cheek"
"fma60966","Zygomatic part of cheek"
"fma61288","Subdivision of external acoustic tube"
"fma61564","Pre-auricular part of cheek"
"fma61709","Mastoid part of head"
"fma61734","External acoustic tube"
"fma74806","Right temporal part of head"
"fma74807","Left temporal part of head"
"fma79067","Subdivision of anterior part of knee"
"fma79077","Lateral part of knee"
"fma79078","Medial part of knee"
"fma79083","Region of posterior part of elbow"
"fma87581","Scapular part of back"
"fma326537","Obverse part of pinna"
"fma224224","Right supra-auricular part of head"
"fma224226","Left supra-auricular part of head"
"fma224234","Wall of subdivision of external acoustic tube"
"fma224400","Right side of upper lip"
"fma224402","Left side of upper lip"
"fma224404","Lateral part of lower lip"
"fma224413","Middle part of lower lip"
"fma236978","Right side of lower lip"
"fma236980","Left side of lower lip"
"fma24905","Anterior part of right elbow"
"fma24906","Anterior part of left elbow"
"fma24908","Posterior part of right elbow"
"fma24909","Posterior part of left elbow"
"fma25449","Medial malleolar part of ankle"
"fma25450","Lateral malleolar part of ankle"
"fma258783","Proximal segment of right wrist"
"fma258785","Proximal segment of left wrist"
"fma258789","Distal segment of right wrist"
"fma258791","Distal segment of left wrist"
"fma281627","Region of upper lip proper"
"fma286132","Vermilion proper"
"fma286140","Vermilion border region"
"fma304688","Region of lower lip proper"
"fma305938","Region of philtrum"
"fma305948","Vermilion of right side of upper lip"
"fma305950","Vermilion of left side of upper lip"
"fma313901","Vermilion proper of right side of upper lip"
"fma313903","Vermilion proper of left side of upper lip"
"fma313905","Vermilion border region of right side of upper lip"
"fma313907","Vermilion border region of left side of upper lip"
"fma317811","Right temporal part proper of head"
"fma317813","Left temporal part proper of head"
"fma320943","Subdivision of helix"
"fma321780","Lateral half of upper lip"
"fma322341","Elbow crease"
"fma322618","Lateral part of right elbow"
"fma322619","Lateral part of left elbow"
"fma53639","Temple region of right temporal part of head"
"fma53640","Temple region of left temporal part of head"
"fma56663","Right pinna"
"fma56664","Left pinna"
"fma59817","Upper lip"
"fma59818","Lower lip"
"fma59819","Philtrum"
"fma59827","Vermilion of upper lip"
"fma59828","Vermilion of lower lip"
"fma59830","Upper lip proper"
"fma59831","Lower lip proper"
"fma60967","Zygomatic part of right cheek"
"fma60968","Zygomatic part of left cheek"
"fma60969","Infra-orbital part of right cheek"
"fma60970","Infra-orbital part of left cheek"
"fma60984","Lobule of pinna"
"fma60992","Helix"
"fma60995","Antihelix"
"fma60998","Tragus"
"fma61001","Antitragus"
"fma61006","Conchal part of pinna"
"fma61081","Subdivision of conchal part of pinna"
"fma61091","Triangular fossa of antihelix"
"fma61151","Tubercle of pinna"
"fma61165","Fossa of antihelix"
"fma61178","Apex of pinna"
"fma61291","Isthmus of external acoustic tube"
"fma61305","External part of external acoustic tube"
"fma61306","Middle part of external acoustic tube"
"fma61307","Inner part of external acoustic tube"
"fma61319","Wall of external acoustic tube"
"fma61565","Pre-auricular part of right cheek"
"fma61566","Pre-auricular part of left cheek"
"fma61723","Right mastoid part of head"
"fma61724","Left mastoid part of head"
"fma61735","Right external acoustic tube"
"fma61736","Left external acoustic tube"
"fma73055","Anterior part of right knee"
"fma73056","Anterior part of left knee"
"fma73058","Popliteal part of right knee"
"fma73060","Popliteal part of left knee"
"fma74599","Right cheek proper"
"fma74600","Left cheek proper"
"fma74824","Lateral part of right cheek"
"fma74825","Lateral part of left cheek"
"fma74832","Right infrascapular part of back"
"fma74833","Left infrascapular part of back"
"fma74841","Anterior part of right wrist"
"fma74842","Anterior part of left wrist"
"fma74843","Posterior part of right wrist"
"fma74844","Posterior part of left wrist"
"fma74848","Anterior part of right ankle"
"fma74849","Anterior part of left ankle"
"fma74850","Posterior part of right ankle"
"fma74851","Posterior part of left ankle"
"fma76618","Lateral retromalleolar region"
"fma76619","Medial retromalleolar region"
"fma79064","Patellar part of knee"
"fma79068","Anterior part proper of knee"
"fma79079","Medial part of right knee"
"fma79080","Medial part of left knee"
"fma79081","Lateral part of right knee"
"fma79082","Lateral part of left knee"
"fma79084","Posterior part proper of elbow"
"fma79085","Olecranon region"
"fma87582","Right scapular part of back"
"fma87583","Left scapular part of back"
"fma326578","Rim of helix"
"fma224236","Posterior wall of external acoustic tube"
"fma224242","Anterior wall of external acoustic tube"
"fma224377","Inferior wall of external acoustic tube"
"fma281630","Right side of upper lip proper"
"fma281632","Left side of upper lip proper"
"fma281711","Lateral crest of philtrum"
"fma281717","Philtrum proper"
"fma286134","Vermilion proper of upper lip"
"fma286137","Vermilion proper of lower lip"
"fma286142","Vermilion border region of upper lip"
"fma286146","Vermilion border region of lower lip"
"fma304690","Right side of lower lip proper"
"fma304692","Left side of lower lip proper"
"fma305940","Groove of philtrum proper"
"fma305942","Vermilion of philtrum"
"fma305953","Vermilion proper of philtrum"
"fma313899","Vermilion border region of philtrum"
"fma59829","Tubercle of upper lip"
"fma60989","Lobule of right pinna"
"fma60991","Lobule of left pinna"
"fma60993","Right helix"
"fma60994","Left helix"
"fma60996","Right antihelix"
"fma60997","Left antihelix"
"fma60999","Right tragus"
"fma61000","Left tragus"
"fma61002","Right antitragus"
"fma61003","Left antitragus"
"fma61008","Conchal part of right pinna"
"fma61009","Conchal part of left pinna"
"fma61024","Crus of helix"
"fma61027","Spine of helix"
"fma61028","Tail of helix"
"fma61082","Cymba conchae of pinna"
"fma61083","Concha proper of pinna"
"fma61092","Triangular fossa of right antihelix"
"fma61093","Triangular fossa of left antihelix"
"fma61152","Tubercle of right pinna"
"fma61153","Tubercle of left pinna"
"fma61166","Fossa of right antihelix"
"fma61167","Fossa of left antihelix"
"fma61179","Apex of right pinna"
"fma61180","Apex of left pinna"
"fma61292","Isthmus of right external acoustic meatus"
"fma61293","Isthmus of left external acoustic meatus"
"fma61308","Inner part of right external acoustic tube"
"fma61309","Inner part of left external acoustic tube"
"fma61310","Middle part of right external acoustic tube"
"fma61311","Middle part of left external acoustic tube"
"fma61312","External part of right external acoustic tube"
"fma61313","External part of left external acoustic tube"
"fma61323","Wall of right external acoustic tube"
"fma61324","Wall of left external acoustic tube"
"fma61328","Wall of external part of external acoustic tube"
"fma61329","Wall of middle part of external acoustic tube"
"fma61330","Wall of inner part of external acoustic tube"
"fma74852","Medial malleolar part of right ankle"
"fma74853","Medial malleolar part of left ankle"
"fma74854","Lateral malleolar part of right ankle"
"fma74855","Lateral malleolar part of left ankle"
"fma77676","Supratragic tubercle"
"fma79056","Right lateral retromalleolar region"
"fma79057","Left lateral retromalleolar region"
"fma79058","Right medial retromalleolar region"
"fma79059","Left medial retromalleolar region"
"fma79065","Patellar part of right knee"
"fma79066","Patellar part of left knee"
"fma79069","Anterior part proper of right knee"
"fma79070","Anterior part proper of left knee"
"fma79086","Posterior part proper of right elbow"
"fma79087","Posterior part proper of left elbow"
"fma79088","Right olecranon region"
"fma79089","Left olecranon region"
"fma224238","Posterior wall of right external acoustic tube"
"fma224240","Posterior wall of left external acoustic tube"
"fma224244","Anterior wall of right external acoustic tube"
"fma224246","Anterior wall of left external acoustic tube"
"fma224380","Inferior wall of right external acoustic tube"
"fma224382","Inferior wall of left external acoustic tube"
"fma228619","Right supratragic tubercle"
"fma228621","Left supratragic tubercle"
"fma281713","Right lateral crest of philtrum"
"fma281715","Left lateral crest of philtrum"
"fma61029","Tail of right helix"
"fma61030","Tail of left helix"
"fma61031","Spine of right helix"
"fma61032","Spine of helical part of left pinna"
"fma61033","Crus of right helix"
"fma61034","Crus of left helix"
"fma61084","Cymba conchae of right pinna"
"fma61085","Cymba conchae of left pinna"
"fma61086","Concha proper of right pinna"
"fma61087","Concha proper of left pinna"
"fma61331","Wall of inner part of right external acoustic tube"
"fma61332","Wall of inner part of left external acoustic tube"
"fma61333","Wall of middle part of right external acoustic tube"
"fma61334","Wall of middle part of left external acoustic tube"
"fma61335","Wall of external part of right external acoustic tube"
"fma61336","Wall of external part of left external acoustic tube"
"fma21440","Sacro-iliac joint"
"fma25883","Sternoclavicular joint"
"fma25898","Acromioclavicular joint"
"fma25912","Glenohumeral joint"
"fma300839","Synovial joint of free upper limb segment"
"fma300843","Synovial joint of free lower limb segment"
"fma35178","Hip joint"
"fma35219","Intermetatarsal joint"
"fma42765","Interphalangeal joint"
"fma21441","Right sacroiliac joint"
"fma21442","Left sacroiliac joint"
"fma25893","Right sternoclavicular joint"
"fma25895","Left sternoclavicular joint"
"fma25901","Right acromioclavicular joint"
"fma25902","Left acromioclavicular joint"
"fma25927","Right glenohumeral joint"
"fma25929","Left glenohumeral joint"
"fma300841","Synovial joint of hand"
"fma321911","Synovial joint of foot"
"fma35175","Knee joint"
"fma35179","Right hip joint"
"fma35180","Left hip joint"
"fma35195","Ankle joint"
"fma35201","Transverse tarsal joint"
"fma35213","Intercuneiform joint"
"fma35216","Tarsometatarsal joint"
"fma35220","First intermetatarsal joint"
"fma35221","Second intermetatarsal joint"
"fma35222","Metatarsophalangeal joint"
"fma35225","Interphalangeal joint of toe"
"fma35285","Interphalangeal joint of finger"
"fma35289","Elbow joint"
"fma35291","Radiocarpal joint"
"fma38854","Humeroulnar joint"
"fma38855","Humeroradial joint"
"fma38863","Radio-ulnar joint"
"fma43571","Tibiofemoral joint"
"fma43574","Patellofemoral joint"
"fma44281","Intertarsal joint"
"fma73267","Third intermetatarsal joint"
"fma73268","Fourth intermetatarsal joint"
"fma321905","Synovial joint of finger"
"fma321927","Proximal interphalangeal joint of finger"
"fma321928","Middle interphalangeal joint of finger"
"fma321929","Distal interphalangeal joint of finger"
"fma321967","Proximal interphalangeal joint of toe"
"fma321968","Distal interphalangeal joint of toe"
"fma322494","Metatarsophalangeal joint of lesser toe"
"fma35176","Right knee joint"
"fma35177","Left knee joint"
"fma35196","Right ankle joint"
"fma35197","Left ankle joint"
"fma35198","Talocalcaneal joint"
"fma35202","Right transverse tarsal joint"
"fma35203","Left transverse tarsal joint"
"fma35204","Talocalcaneonavicular joint"
"fma35207","Calcaneocuboid joint"
"fma35210","Cuneonavicular joint"
"fma35214","Right intercuneiform joint"
"fma35215","Left intercuneiform joint"
"fma35217","Right tarsometatarsal joint"
"fma35218","Left tarsometatarsal joint"
"fma35228","Metatarsophalangeal joint of big toe"
"fma35231","Metatarsophalangeal joint of second toe"
"fma35234","Metatarsophalangeal joint of third toe"
"fma35237","Metatarsophalangeal joint of fourth toe"
"fma35240","Metatarsophalangeal joint of little toe"
"fma35246","Metacarpophalangeal joint"
"fma35287","Carpometacarpal joint"
"fma35288","Intermetacarpal joint"
"fma35290","Distal radio-ulnar joint"
"fma35292","Intercarpal joint"
"fma35294","Right elbow joint"
"fma35295","Left elbow joint"
"fma35298","Right wrist joint"
"fma35299","Left wrist joint"
"fma35312","Interphalangeal joint of thumb"
"fma35353","Interphalangeal joint of big toe"
"fma35356","Interphalangeal joint of second toe"
"fma35359","Interphalangeal joint of third toe"
"fma35362","Interphalangeal joint of fourth toe"
"fma35365","Interphalangeal joint of little toe"
"fma35397","Interphalangeal joint of index finger"
"fma35400","Interphalangeal joint of middle finger"
"fma35403","Interphalangeal joint of ring finger"
"fma35407","Interphalangeal joint of little finger"
"fma38856","Right humeroulnar joint"
"fma38857","Left humeroulnar joint"
"fma38858","Right humeroradial joint"
"fma38859","Left humeroradial joint"
"fma38860","Proximal radio-ulnar joint"
"fma43572","Right tibiofemoral joint"
"fma43573","Left tibiofemoral joint"
"fma43575","Right patellofemoral joint"
"fma43576","Left patellofemoral joint"
"fma44282","Right intertarsal joint"
"fma44283","Left intertarsal joint"
"fma44349","Cuboideonavicular joint"
"fma44352","Cuneocuboid joint"
"fma44357","First tarsometatarsal joint"
"fma44358","Second tarsometatarsal joint"
"fma44360","Third tarsometatarsal joint"
"fma44361","Fourth tarsometatarsal joint"
"fma44362","Fifth tarsometatarsal joint"
"fma73222","Medial-intermediate intercuneiform joint"
"fma73223","Lateral-intermediate intercuneiform joint"
"fma73271","Right first intermetatarsal joint"
"fma73272","Left first intermetatarsal joint"
"fma73273","Right second intermetatarsal joint"
"fma73274","Left second intermetatarsal joint"
"fma73276","Right third intermetatarsal joint"
"fma73277","Left third intermetatarsal joint"
"fma73278","Right fourth intermetatarsal joint"
"fma73279","Left fourth intermetatarsal joint"
"fma323768","Scapho-trapezial joint"
"fma323769","Scapho-lunate joint"
"fma321906","Synovial joint of thumb"
"fma321907","Synovial joint of index finger"
"fma321908","Synovial joint of middle finger"
"fma321909","Synovial joint of ring finger"
"fma321910","Synovial joint of little finger"
"fma322431","Proximal interphalangeal joint of lesser toe"
"fma322432","Distal interphalangeal joint of lesser toe"
"fma35199","Right talocalcaneal joint"
"fma35200","Left talocalcaneal joint"
"fma35205","Right talocalcaneonavicular joint"
"fma35206","Left talocalcaneonavicular joint"
"fma35208","Right calcaneocuboid joint"
"fma35209","Left calcaneocuboid joint"
"fma35211","Right cuneonavicular joint"
"fma35212","Left cuneonavicular joint"
"fma35229","Metatarsophalangeal joint of right big toe"
"fma35230","Metatarsophalangeal joint of left big toe"
"fma35232","Metatarsophalangeal joint of right second toe"
"fma35233","Metatarsophalangeal joint of left second toe"
"fma35235","Metatarsophalangeal joint of right third toe"
"fma35236","Metatarsophalangeal joint of left third toe"
"fma35238","Metatarsophalangeal joint of right fourth toe"
"fma35239","Metatarsophalangeal joint of left fourth toe"
"fma35241","Metatarsophalangeal joint of right little toe"
"fma35242","Metatarsophalangeal joint of left little toe"
"fma35249","Metacarpophalangeal joint of thumb"
"fma35252","Metacarpophalangeal joint of index finger"
"fma35255","Metacarpophalangeal joint of middle finger"
"fma35258","Metacarpophalangeal joint of ring finger"
"fma35261","Metacarpophalangeal joint of little finger"
"fma35293","Midcarpal joint"
"fma35296","Right distal radio-ulnar joint"
"fma35297","Left distal radio-ulnar joint"
"fma35313","Interphalangeal joint of right thumb"
"fma35314","Interphalangeal joint of left thumb"
"fma35315","Proximal interphalangeal joint of index finger"
"fma35318","Proximal interphalangeal joint of middle finger"
"fma35321","Proximal interphalangeal joint of ring finger"
"fma35324","Proximal interphalangeal joint of little finger"
"fma35334","Distal interphalangeal joint of index finger"
"fma35337","Distal interphalangeal joint of middle finger"
"fma35340","Distal interphalangeal joint of ring finger"
"fma35343","Distal interphalangeal joint of little finger"
"fma35354","Interphalangeal joint of right big toe"
"fma35355","Interphalangeal joint of left big toe"
"fma35357","Interphalangeal joint of right second toe"
"fma35358","Interphalangeal joint of left second toe"
"fma35360","Interphalangeal joint of right third toe"
"fma35361","Interphalangeal joint of left third toe"
"fma35363","Interphalangeal joint of right fourth toe"
"fma35364","Interphalangeal joint of left fourth toe"
"fma35366","Interphalangeal joint of right little toe"
"fma35367","Interphalangeal joint of left little toe"
"fma35368","Proximal interphalangeal joint of second toe"
"fma35369","Distal interphalangeal joint of second toe"
"fma35374","Proximal interphalangeal joint of third toe"
"fma35375","Distal interphalangeal joint of third toe"
"fma35383","Proximal interphalangeal joint of fourth toe"
"fma35387","Distal interphalangeal joint of fourth toe"
"fma35390","Proximal interphalangeal joint of little toe"
"fma35393","Distal interphalangeal joint of little toe"
"fma35421","Carpometacarpal joint of thumb"
"fma35424","Second carpometacarpal joint"
"fma35427","Third carpometacarpal joint"
"fma35430","Fourth carpometacarpal joint"
"fma35433","Fifth carpometacarpal joint"
"fma38861","Right proximal radio-ulnar joint"
"fma38862","Left proximal radio-ulnar joint"
"fma42318","Pisotriquetral joint"
"fma44350","Right cuboideonavicular joint"
"fma44351","Left cuboideonavicular joint"
"fma44353","Right cuneocuboid joint"
"fma44354","Left cuneocuboid joint"
"fma44363","Right first tarsometatarsal joint"
"fma44364","Left first tarsometatarsal joint"
"fma44365","Right second tarsometatarsal joint"
"fma44366","Left second tarsometatarsal joint"
"fma44367","Right third tarsometatarsal joint"
"fma44368","Left third tarsometatarsal joint"
"fma44369","Right fourth tarsometatarsal joint"
"fma44370","Left fourth tarsometatarsal joint"
"fma44371","Right fifth tarsometatarsal joint"
"fma44372","Left fifth tarsometatarsal joint"
"fma65003","Intermetacarpal joint of second and third metacarpal bones"
"fma65007","Intermetacarpal joint of third and fourth metacarpal bones"
"fma65011","Intermetacarpal joint of fourth and fifth metacarpal bones"
"fma73126","Pisiform joint"
"fma73230","Right medial-intermediate intercuneiform joint"
