cde_id	source	amp_variable	amp_variable_description	amp_value_set	amp_extended_definition_comments	omop_concept_name	domain	omop_concept_class	omop_value_set	omop_value_as_strings	concept_comment	omop_vocab	datatype	units	omop_concept_id
202	AMP-PD	mms105_recall_score	MMSE - Recall Score - Repeat Three Unrelated Objects Again: MMSE - Recall Word 1 (MMS105A), MMSE - Recall Word 2 (MMS105B), MMSE - Recall Word 3 (MMS105C)	0 - 3		Has delayed recall | Mini-Mental State Examination [MMSE]	Observation	Survey | Clinical Finding			""	(composite)			4153990|42869861
203	AMP-PD	mms106_naming_object_score	MMSE - Naming Object 1 (MMS106A), MMSE - Naming Object 2 (MMS106B)	0 - 2		Naming | Mini-Mental State Examination [MMSE]	Observation	Survey | Observable Entity			""	(composite)			4099909|42869861
204	AMP-PD	mms107_repeat_phrase_score	MMSE - Repeat What I Say (MMS107)	0 - 1		Repetition of phrases | Mini-Mental State Examination [MMSE]	Observation | Condition	Survey | Clinical Finding			""	(composite)			4247506|42869861
205	AMP-PD	mms108b_fold_in_half_score	MMSE - Fold In Half (MMS108B)	0 - 3		Finding of praxis | Mini-Mental State Examination [MMSE]	Observation | Condition	Survey | Clinical Finding			""	(composite)			4100611|42869861
206	AMP-PD	mms109_close_eyes_score	MMSE - Read This And Do What It Says (MMS109)	0 - 3		Ability to read | Mini-Mental State Examination [MMSE]	Observation	Survey | Observable Entity			""	(composite)			4205082|42869861
207	AMP-PD	mms110_sentence_score	MMSE - Write A Sentence (MMS110)	0 - 1		Writing | Mini-Mental State Examination [MMSE]	Observation	Survey | Observable Entity			""	(composite)			4048963|42869861
208	AMP-PD	mms111_copy_design_score	MMSE - Copy This Design (MMS111)	0 - 1		Design copyist | Mini-Mental State Examination [MMSE]	Observation	Survey | Social Context			""	(composite)			4011415|42869861
209	AMP-PD	mms112_total_score	MMSE - Total Score (MMS112)	13 - 30		Total score [MMSE]	Observation	Survey			""	LOINC			42869860
210	AMP-PD	mmse	Last MMSE	[0-30] | NA		Mini-Mental State Examination [MMSE]	Observation	Survey			""	LOINC			42869861
211	AMP-PD	moca01_alternating_trail_making	MOCA: 01. Alternating Trail Making	0 - 1		Trail making test | Montreal cognitive assessment	Observation | Measurement	Staging / Scales | Staging / Scales			""	(picked set)			4165596|44808666
212	AMP-PD	moca02_visuoconstr_skills_cube	MOCA: 02. Visuoconstructional Skills - Copy Cube	0 - 1		Able to perform copying activities | Montreal cognitive assessment	Observation	Staging / Scales | Clinical Finding			""	SNOMED | SNOMED			4123526|44808666
213	AMP-PD	moca03_visuoconstr_skills_clock_cont	MOCA: 03. Visuoconstructional Skills - Draw Clock Contour	0 - 1		Clock drawing panel [GPCOG] | Montreal cognitive assessment	Observation	Staging / Scales | Survey			""	SNOMED | LOINC			21492218|44808666
214	AMP-PD	moca04_visuoconstr_skills_clock_num	MOCA: 04. Visuoconstructional Skills - Draw Clock Numbers	0 - 1		Clock drawing panel [GPCOG] | Montreal cognitive assessment	Observation	Staging / Scales | Survey			""	SNOMED | LOINC			21492218|44808666
215	AMP-PD	moca05_visuoconstr_skills_clock_hands	MOCA: 05. Visuoconstructional Skills - Draw Clock Hands	0 - 1		Clock drawing panel [GPCOG] | Montreal cognitive assessment	Observation	Staging / Scales | Survey			""	SNOMED | LOINC			21492218|44808666
216	AMP-PD	moca06_naming_lion	MOCA: 06. Naming - Lion	0 - 1		Object naming test | Montreal cognitive assessment	Observation | Measurement	Staging / Scales | Staging / Scales			""	(picked set)			4169312|44808666
217	AMP-PD	moca07_naming_rhino	MOCA: 07. Naming - Rhino	0 - 1		Object naming test | Montreal cognitive assessment	Observation | Measurement	Staging / Scales | Staging / Scales			""	(picked set)			4169312|44808666
218	AMP-PD	moca08_naming_camel	MOCA: 08. Naming - Camel	0 - 1		Object naming test | Montreal cognitive assessment	Measurement	Staging / Scales			""	(composite)			4169312|44808666
219	AMP-PD	moca09_attention_forward_digit_span	MOCA: 09. Attention - Forward Digit Span	0 - 1		Digit span forwards | Montreal cognitive assessment	Measurement | Observation	Staging / Scales | Clinical Finding			""	(composite)			4150719|44808666
220	AMP-PD	moca10_attention_backward_digit_span	MOCA: 10. Attention - Backward Digit Span	0 - 1		Digit span reverse | Montreal cognitive assessment	Measurement | Observation	Staging / Scales | Clinical Finding			""	(composite)			4151627|44808666
221	AMP-PD	moca11_attention_vigilance	MOCA: 11. Attention - Vigilance	0 - 1		Attention | Montreal cognitive assessment	Measurement | Observation	Staging / Scales | Observable Entity			""	(composite)			4195864|44808666
222	AMP-PD	moca12_attention_serial_7s	MOCA: 12. Attention - Serial 7s	0 - 3		Serial sevens test	Measurement	Staging / Scales			""	SNOMED			4158754
223	AMP-PD	moca13_sentence_repetition	MOCA: 13. Sentence Repetition	0 - 2		Repetition of words | Montreal cognitive assessment	Measurement | Condition	Staging / Scales | Clinical Finding			""	(composite)			4101848|44808666
224	AMP-PD	moca14_verbal_fluency_number_of_words	MOCA: 14. Verbal Fluency - Number Of Words	0 - 43		Language fluency | Montreal cognitive assessment	Measurement | Observation	Staging / Scales | Observable Entity			""	(composite)			4138561|44808666
225	AMP-PD	moca15_verbal_fluency	MOCA: 15. Verbal Fluency	0 - 1		Language fluency | Montreal cognitive assessment	Measurement | Observation	Staging / Scales | Observable Entity			""	(composite)			4138561|44808666
226	AMP-PD	moca16_abstraction	MOCA: 16. Abstraction	0 - 2		Ability to think abstractly | Montreal cognitive assessment	Measurement | Observation	Staging / Scales | Observable Entity			""	(composite)			4239427|44808666
227	AMP-PD	moca17_delayed_recall_face	MOCA: 17. Delayed Recall - Face	0 - 1		Visual memory for faces | Montreal cognitive assessment	Measurement | Observation	Staging / Scales | Observable Entity			""	(composite)			4152620|44808666
228	AMP-PD	moca18_delayed_recall_velvet	MOCA: 18. Delayed Recall - Velvet	0 - 1		Has delayed recall | Montreal cognitive assessment	Measurement | Observation	Staging / Scales | Clinical Finding			""	(composite)			4153990|44808666
229	AMP-PD	moca19_delayed_recall_church	MOCA: 19. Delayed Recall - Church	0 - 1		Has delayed recall | Montreal cognitive assessment	Measurement | Observation	Staging / Scales | Clinical Finding			""	(composite)			4153990|44808666
230	AMP-PD	moca20_delayed_recall_daisy	MOCA: 20. Delayed Recall - Daisy	0 - 1		Montreal Cognitive Assessment [MoCA]	Observation	Survey			""	LOINC			43054876
231	AMP-PD	moca21_delayed_recall_red	MOCA: 21. Delayed Recall - Red	0 - 1		Has delayed recall | Montreal cognitive assessment	Measurement | Observation	Staging / Scales | Clinical Finding			""	(composite)			4153990|44808666
232	AMP-PD	moca22_orientation_date_score	MOCA: 22. Orientation - Date Score	0 - 1		Montreal Cognitive Assessment [MoCA]	Observation	Survey			""	LOINC			43054876
233	AMP-PD	moca23_orientation_month_score	MOCA: 23. Orientation - Month Score	0 - 1		Montreal Cognitive Assessment [MoCA]	Observation	Survey			""	LOINC			43054876
234	AMP-PD	moca24_orientation_year_score	MOCA: 24. Orientation - Year Score	0 - 1		Orientation | Montreal cognitive assessment	Measurement | Observation	Staging / Scales | Observable Entity			""	(composite)			4183166|44808666
235	AMP-PD	moca25_orientation_day_score	MOCA: 25. Orientation - Day Score	0 - 1		Montreal Cognitive Assessment [MoCA]	Observation	Survey			""	LOINC			43054876
236	AMP-PD	moca26_orientation_place_score	MOCA: 26. Orientation - Place Score	0 - 1		Montreal Cognitive Assessment [MoCA]	Observation	Survey			""	LOINC			43054876
237	AMP-PD	moca27_orientation_city_score	MOCA: 27. Orientation - City Score	0 - 1		Montreal Cognitive Assessment [MoCA]	Observation	Survey			""	LOINC			43054876
238	AMP-PD	moca_abstraction_subscore	MOCA: Abstraction subscore is the same as abstraction test - serial language abstraction points earned	0 - 2		Selective abstraction | Montreal cognitive assessment | Subscale score	Measurement | Observation	Staging / Scales | Clinical Finding			""	(composite)			4110916|44808666|4088611
239	AMP-PD	moca_attention_digits_subscore	MOCA: Attention Forward-Backward Repeat Lists Of Digits Subscore	0 - 2		Digit span performance | Attention | Montreal cognitive assessment | Subscale score	Measurement | Observation	Staging / Scales | Observable Entity | Observable Entity			""	(composite)			4153980|4195864|44808666|4088611
240	AMP-PD	moca_delayed_recall_subscore	MOCA: Delayed Recall Subscore Uncued	0 - 5		Has delayed recall | Subscale score	Observation	Clinical Finding			""	SNOMED			4153990|4088611
241	AMP-PD	moca_delayed_recall_subscore_optnl_cat_cue	MOCA: Delayed Recall Subscore Optional Category Cue	0 - 5		Has delayed recall | Montreal cognitive assessment | Subscale score	Measurement | Observation	Staging / Scales | Clinical Finding			""	(composite)			4153990|44808666|4088611
242	AMP-PD	moca_delayed_recall_subscore_optnl_mult_choice	MOCA: Delayed Recall Subscore Optional Multiple Choice Cue	0 - 5		Has delayed recall | Montreal cognitive assessment | Subscale score	Measurement | Observation	Staging / Scales | Clinical Finding			""	(composite)			4153990|44808666|4088611
243	AMP-PD	moca_language_subscore	MOCA: Language Subscore	0 - 3		Language | Montreal cognitive assessment | Subscale score	Measurement | Observation	Staging / Scales | Observable Entity			""	(composite)			4267143|44808666|4088611
244	AMP-PD	moca_naming_subscore	MOCA: Naming Subscore	0 - 3		Naming | Montreal cognitive assessment | Subscale score	Measurement | Observation	Staging / Scales | Observable Entity			""	(composite)			4099909|44808666|4088611
245	AMP-PD	moca_orientation_subscore	MOCA: Orientation Subscore	0 - 6		Orientation | Montreal cognitive assessment | Subscale score	Measurement | Observation	Staging / Scales | Observable Entity			""	(composite)			4183166|44808666|4088611
246	AMP-PD	moca_total_score	MOCA Total Score	0 - 31		Total score [MoCA]	Observation	Survey			""	LOINC			43054915
247	AMP-PD	moca_visuospatial_executive_subscore	MOCA: Visuospatial And Executive Subscore	0 - 5		Isolated visuospatial skills | Executive cognitive functions | Montreal cognitive assessment | Subscale score	Measurement | Observation	Staging / Scales | Clinical Finding | Observable Entity			""	(composite)			4077974|4207631|44808666|4088611
248	AMP-PD	mod_schwab_england_on_off_med	Clinical State On Medication			Was on medication | General clinical state	Observation | Meas Value	Observable Entity | Answer	Is this evaluation based on a time when the child		""	(composite)			1094239|4132778
249	AMP-PD	mod_schwab_england_pct_adl_score	Modified Schwab And England Percent ADL Score	0 - 100		Schwab England activities of daily living scale [UPDRS]	Measurement	Clinical Observation	46237986 | 46237868 | 46237462 | 46237460 | 46238168 | 46237987 | 46237458 | 46237459 | 46237461 | 46238061 | 46238060	With effort, now and then does a few chores alone or begins alone. Much help needed | More dependent. Help with half, slower, etc. Difficulty with everything. | Nothing alone. Can be a slight help with some chores. Severe invalid | Some dependency. Can do most chores, but exceedingly slowly and with much effort. Errors; some impossible | Totally dependent, helpless. Complete invalid | Vegetative functions such as swallowing, bladder and bowel functions are not functioning. Bedridden | Completely independent. Able to do all chores with some degree of slowness, difficulty and impairment. Might take twice as long. Beginning to be aware of difficulty | Completely independent in most chores. Takes twice as long. Conscious of difficulty and slowness | Very dependent. Can assist with all chores, but few alone | Not completely independent. More difficulty with some chores. Three to four times as long in some. Must spend a large part of the day with chores | Completely independent. Able to do all chores without slowness, difficulty or impairment. Essentially normal. Unaware of any difficulty	""	LOINC			46236405
250	AMP-PD	mood_dis	Mood disorder (depression and/or anxiety)	Yes | No | NA		Mood disorder	Condition	Disorder			""	SNOMED			444100
251	AMP-PD	most_recent_diagnosis	Most recent diagnosis			Main presenting symptom [PhenX]	Observation	Clinical Observation	Cardiac/MI | Fatigue | Gastrointestinal | Genitourinary | HEENT | Lymphatic | Musculoskeletal | Neurologic | Other | Psychologic | Respiratory | Skin		""	LOINC			40769095
252	AMP-PD	mri_results	MRI results	Abnormal, not clinically significant | Normal | Abnormal, clinically significant		Magnetic resonance imaging | Imaging interpretation	Procedure | Measurement	Procedure | Observable Entity			""	(picked set)			4013636|4086692
253	AMP-PD	msq01_act_out_dreams	MSQ Act Out Dreams Q1	No | Yes		REM sleep behavior disorder	Condition	Disorder			""	SNOMED			439007
254	AMP-PD	msq01a_act_out_months	MSQ Act Out Months Q1a	0 - 2000		REM sleep behavior disorder	Condition	Disorder			""	SNOMED			439007
255	AMP-PD	msq01a_act_out_years	MSQ Act Out Years Q1a	0 - 99		REM sleep behavior disorder	Condition	Disorder			""	SNOMED			439007
256	AMP-PD	msq01b_patient_injured	MSQ Patient injured Q1b	No | Yes		Injury whilst sleeping	Condition	Disorder			""	SNOMED			42689795
257	AMP-PD	msq01c_bedpartner_injured	MSQ Bedpartner Injured Q1c	Yes | No | No bedpartner		Do you ever move so much during your sleep that you accidentally hit your bed partner, if any, or hurt yourself? [PhenX]	Observation	Clinical Observation	No | Unknown | Yes		""	LOINC			40768319
258	AMP-PD	msq01d_told_dreams	MSQ Told Dreams Q1d	Yes | No | Never told you about dreams		How often do you remember your dreams - that is, dreams that occur during your regular sleep and not while napping [PhenX]	Observation	Clinical Observation	Almost always (16-30 times per month) | Don't know | Never | Often (5-15 times per month) | Rarely (once a month or less) | Sometimes (2-4 times per month)		""	LOINC			40768259
259	AMP-PD	msq01e_dream_details_match	MSQ Dream Details Match Q1e	Yes | No | Never told you about dreams		Detailed recall of dream	Observation	Clinical Finding			""	SNOMED			4092272
260	AMP-PD	msq02_legs_jerk	MSQ Legs Jerk Q2	No | Yes		Muscle jerks in sleep	Condition	Clinical Finding			""	Nebraska Lexicon			3184819
261	AMP-PD	msq03_restless_legs	MSQ Restless Legs Q3	No | Yes		Restless legs syndrome rating scale	Measurement	Staging / Scales			""	SNOMED			36684875
262	AMP-PD	msq03a_leg_sensations_decrease	MSQ Leg Sensations Decrease Q3a	No | Yes		Restless legs	Condition	Disorder			""	SNOMED			73754
263	AMP-PD	msq03b_time_leg_sensations_worst	MSQ Time Leg Sensations Worst Q3b	After 6pm | Before 6pm		Restless legs	Condition	Disorder			""	SNOMED			73754
264	AMP-PD	msq04b_walked_asleep	MSQ Walked Asleep Q4	No | Yes		Sleep walking disorder	Condition	Disorder			""	SNOMED			377535
265	AMP-PD	msq05_snorted_awake	MSQ Snorted Awake Q5	No | Yes		Have you ever seen your child wake up with a snorting sound [PhenX]	Observation	Clinical Observation	Don't know | No | Yes		""	LOINC			40767217
266	AMP-PD	msq06_stop_breathing	MSQ Stop Breathing Q6	No | Yes		Sleep apnea	Condition	Disorder			""	SNOMED			313459
267	AMP-PD	msq06a_treated_for_stop_breathing	MSQ Treated For Stop Breathing Q6a	No | Yes		Are you currently prescribed medications and/or receiving treatment for sleep apnea?	Observation	Question	Are you currently prescribed medications and/or receiving treatment for sleep apnea? - No | Are you currently prescribed medications and/or receiving treatment for sleep apnea? - Yes		""	PPI			43528875
268	AMP-PD	msq07_leg_cramps	MSQ Leg Cramps Q7	No | Yes		Cramp in lower leg	Condition	Clinical Finding			""	SNOMED			42710046
269	AMP-PD	msq08_rate_of_alertness	MSQ Rate Of Alertness Q8	0 - 10		Mental alertness	Observation	Observable Entity			""	SNOMED			4093835
270	AMP-PD	msq_distracting_sleep_behaviors	MSQ Distracting sleep behaviors	No | Yes		Disturbance in sleep behavior	Observation	Clinical Finding			""	SNOMED			4204989
271	AMP-PD	msq_info_source	MSQ Source Of Information	Subject | Informant		Mothers Source of information	Observation	Survey			""	LOINC			36304515
272	AMP-PD	msq_interviewee_live_with_subject	MSQ Live With Subject	No | Yes		Living arrangements	Observation	Survey			""	LOINC			40760162
273	AMP-PD	msq_interviewee_sleep_same_room	MSQ Sleep in the same room	No | Yes		REM sleep behavior disorder	Condition	Disorder	Agree | Disagree | Neutral | Strongly agree		""	SNOMED			439007
274	AMP-PD	neurolep_sens	Neuroleptic sensitivity	Yes | No | NA		Positive response to neuroleptics	Meas Value	Answer	Psychotic symptoms respond to antipsychotic medications [DI-PAD]		""	LOINC			45876867
275	AMP-PD	on_dopamine_agonist	Is Subject Taking A Dopamine Agonist?	No | Yes | Unknown		Dopamine receptor agonist	Observation	Substance			""	SNOMED			4170593
276	AMP-PD	on_levodopa	Is Subject Taking Levodopa?	No | Yes | Unknown		levodopa	Drug	Ingredient			""	RxNorm/Drug/S			789578
277	AMP-PD	on_other_pd_medications	Is Subject Taking Some Other PD Medication(s)?	No | Yes | Unknown		Are you currently prescribed medications and/or receiving treatment for Parkinson's disease?	Observation	Question	Are you currently prescribed medications and/or receiving treatment for Parkinson's disease? - No | Are you currently prescribed medications and/or receiving treatment for Parkinson's disease? - Yes		""	PPI			43528862
278	AMP-PD	other_relative_with_pd	Other Relative Has Or Had Parkinson's Disease	No | Yes | Unknown		Including yourself, who in your family has had Parkinson's disease? Select all that apply.	Observation	Question	Including yourself, who in your family has had Parkinson's disease? - Daughter | Including yourself, who in your family has had Parkinson's disease? - Father | Including yourself, who in your family has had Parkinson's disease? - Grandparent | Including yourself, who in your family has had Parkinson's disease? - Mother | Including yourself, who in your family has had Parkinson's disease? - Self | Including yourself, who in your family has had Parkinson's disease? - Sibling | Including yourself, who in your family has had Parkinson's disease? - Son		""	PPI			836812
279	AMP-PD	parkinsonism	Parkinsonism on clinical examination	Yes | No | NA		Parkinsonism	Condition	Disorder			""	SNOMED			4140090
280	AMP-PD	participant_id	Study Subject ID			Participant [Identifier]	Observation	Clinical Observation			""	LOINC			40768976
281	AMP-PD	path_braak_lb	BRAAK stage for Lewy body pathology	0 | 1 | 2 | 3 | 4 | 5 | 6 | NA		Braak pathology staging for Lewy body progression in Parkinsons disease	Measurement	Staging / Scales			""	Nebraska Lexicon			3190069
282	AMP-PD	path_braak_nft	BRAAK stage for neurofibrillary tangle pathology	0 | 1 | 2 | 3 | 4 | 5 | 6 | NA		Braak stage for presence of tau protein accompanying neurofibrillary degeneration in brain	Observation	Observable Entity			""	Nebraska Lexicon			3172933
283	AMP-PD	path_cerad	CERAD scoreś	0 | A | B | C | NA		CERAD score for the extent of presence of diffuse plaques in the neocortex	Observation	Observable Entity			""	Nebraska Lexicon			3172402
284	AMP-PD	path_dlb_prob	Likelihood of DLB based on McKeith criteria	Low Likelihood | Intermediate Likelihood | High Likelihood | NA		DLB consortium neuropathologic criteria for diagnosis of Lewy Body Dementia total score	Observation	Observable Entity			""	Nebraska Lexicon			3188920
285	AMP-PD	pd_diagnosis_months_after_baseline	Number of months after baseline visit at which Parkinson's Disease Diagnosis occurred; negative values indicate Parkinson's Disease Diagnosis occurred before baseline			Parkinson's disease | Date of diagnosis	Condition | Observation	Disorder | Clinical Observation			""	(picked set)			381270|40766651
286	AMP-PD	pd_medication_initiation_months_after_baseline	Number of months after baseline visit at which PD Medication Initiation occurred; negative values indicate PD Medication Initiation occurred before baseline			UPD2-Medication for PD	Observation	Observable Entity			""	CDISC			37544810
287	AMP-PD	pd_medication_recent_use_months_after_baseline	Number of months after baseline visit at which Most Recent Use of PD Medication occurred; negative values indicate Most Recent Use of PD Medication occurred before baseline			UPD2-Medication for PD	Observation	Observable Entity			""	CDISC			37544810
288	AMP-PD	pd_medication_start_months_after_baseline	Number of months after baseline visit at which PD Medication Start occurred; negative values indicate PD Medication Start occurred before baseline			Start date of treatment or therapy	Observation	Clinical Observation			""	LOINC			40766656
289	AMP-PD	pdq39_01_doing_leisure_activity	PDQ-39-Q1: Had difficulty doing the leisure activities you would like to do?	Never | Occasionally | Often | Sometimes | Always or cannot do at all		Difficulty participating in leisure activities	Observation	Clinical Finding			""	SNOMED			4116025
290	AMP-PD	pdq39_02_looking_after_home	PDQ-39-Q2: Had difficulty looking after your home, for example, housework, cooking or yardwork?	Never | Occasionally | Often | Sometimes | Always or cannot do at all		Difficulty | Home care of patient	Observation | Meas Value	Procedure | Qualifier Value			""	(composite)			4153379|4246074
291	AMP-PD	pdq39_03_carrying_shopping_bags	PDQ-39-Q3: Had difficulty carrying grocery bags?	Never | Occasionally | Often | Sometimes | Always or cannot do at all		Shopping | Difficulty	Observation | Meas Value	Observable Entity | Qualifier Value			""	(composite)			4043520|4153379
292	AMP-PD	pdq39_04_walking_half_mile	PDQ-39-Q4: Had problems walking half a mile?	Never | Occasionally | Often | Sometimes | Always or cannot do at all		Difficulty walking	Observation	Clinical Finding			""	SNOMED			36714126
293	AMP-PD	pdq39_05_walking_100_yards	PDQ-39-Q5: Had problems walking 100 yards (approximately 1 block)?	Never | Occasionally | Often | Sometimes | Always or cannot do at all		Does your health now limit you in walking one hundred yards [PROMIS]	Observation	Survey	45878064 | 45883172 | 45876385 | 45879119 | 45877927	Quite a lot | Not at all | Somewhat | Cannot do | Very little	""	LOINC			40764451
294	AMP-PD	pdq39_06_getting_around_house	PDQ-39-Q6: Had problems getting around the house as easily as you would like?	Never | Occasionally | Often | Sometimes | Always or cannot do at all		Mobile in home	Observation	Clinical Finding			""	SNOMED			4052960
295	AMP-PD	pdq39_07_getting_around_in_public	PDQ-39-Q7: Had difficulty getting around in public places?	Never | Occasionally | Often | Sometimes | Always or cannot do at all		I have trouble getting around in public places in the past 7 days [FACIT]	Observation	Survey	45883172 | 45876385 | 45884456 | 45881667 | 45885256	Not at all | Somewhat | Quite a bit | A little bit | Very much	""	LOINC			42870053
296	AMP-PD	pdq39_08_need_someone_to_accompany	PDQ-39-Q8: Needed someone else to accompany you when you went out?	Never | Occasionally | Often | Sometimes | Always or cannot do at all		Needs assistance | Social support	Meas Value | Observation	Answer | Qualifier Value	Climbing stairs [ALSFRS-R]		""	(composite)			42531079|763463
297	AMP-PD	pdq39_09_worried_about_falling	PDQ-39-Q9: Felt frightened or worried about falling in public?	Never | Occasionally | Often | Sometimes | Always or cannot do at all		Worried about falling	Observation	Clinical Observation	45878245 | 45877994	No | Yes	""	LOINC			1616659
298	AMP-PD	pdq39_10_confined_to_house	PDQ-39-Q10: Been confined to the house more than you would like?	Never | Occasionally | Often | Sometimes | Always or cannot do at all		Housebound	Observation	Clinical Finding			""	SNOMED			4052962
299	AMP-PD	pdq39_11_showering	PDQ-39-Q11: Had difficulty showering and bathing?	Never | Occasionally | Often | Sometimes | Always or cannot do at all		Difficulty performing bathing activity | Difficulty showering self	Observation	Clinical Finding			""	(composite)			4109860|4113167
300	AMP-PD	pdq39_12_dressing	PDQ-39-Q12: Had difficulty dressing?	Never | Occasionally | Often | Sometimes | Always or cannot do at all		Difficulty dressing	Observation	Clinical Finding			""	SNOMED			4110925
301	AMP-PD	pdq39_13_buttons_and_shoelaces	PDQ-39-Q13: Had difficulty with buttons or shoelaces?	Never | Occasionally | Often | Sometimes | Always or cannot do at all		Difficulty with buttons/zippers	Meas Value	Answer	Motor symptoms - arms [PhenX]		""	LOINC			45877115
302	AMP-PD	pdq39_14_writing	PDQ-39-Q14: Had problems writing clearly?	Never | Occasionally | Often | Sometimes | Always or cannot do at all		Difficulty writing	Condition	Clinical Finding			""	SNOMED			4012111
303	AMP-PD	pdq39_15_cutting_food	PDQ-39-Q15: Had difficulty cutting up your food?	Never | Occasionally | Often | Sometimes | Always or cannot do at all		Difficulty eating	Observation	Clinical Finding			""	SNOMED			4004997
304	AMP-PD	pdq39_16_spill_drink	PDQ-39-Q16: Had difficulty holding a drink without spilling it?	Never | Occasionally | Often | Sometimes | Always or cannot do at all		Difficulty holding drinks	Observation	Clinical Finding			""	SNOMED			4139244
305	AMP-PD	pdq39_17_depressed	PDQ-39-Q17: Felt depressed?	Never | Occasionally | Often | Sometimes | Always or cannot do at all		Depressed mood	Observation	Clinical Finding			""	SNOMED			40546087
306	AMP-PD	pdq39_18_lonely	PDQ-39-Q18: Felt isolated and lonely?	Never | Occasionally | Often | Sometimes | Always or cannot do at all		Feeling lonely	Observation	Clinical Finding			""	SNOMED | MeSH			4147192
307	AMP-PD	pdq39_19_weepy	PDQ-39-Q19: Felt weepy or tearful?	Never | Occasionally | Often | Sometimes | Always or cannot do at all		Crying associated with mood	Condition	Clinical Finding			""	SNOMED			4158475
308	AMP-PD	pdq39_20_angry	PDQ-39-Q20: Felt angry or bitter?	Never | Occasionally | Often | Sometimes | Always or cannot do at all		Feeling angry	Observation	Clinical Finding			""	SNOMED			4327815
309	AMP-PD	pdq39_21_anxious	PDQ-39-Q21: Felt anxious?	Never | Occasionally | Often | Sometimes | Always or cannot do at all		Feeling anxious	Meas Value	Answer	Exacerbating factors - Reported		""	LOINC			3968814
310	AMP-PD	pdq39_22_worried_about_future	PDQ-39-Q22: Felt worried about your future?	Never | Occasionally | Often | Sometimes | Always or cannot do at all		Worry about the future since illness	Observation	Survey	45879593 | 45883772 | 45883172 | 45882528 | 45876385 | 45876662 | 45876672 | 45884456 | 45881667 | 45885256	Occasionally | All of the time | Not at all | Sometimes | Somewhat | Never | Rarely | Quite a bit | A little bit | Very much	""	LOINC			1989000
311	AMP-PD	pdq39_23_hide_pd_from_people	PDQ-39-Q23: Felt you had to hide your Parkinson's from people?	Never | Occasionally | Often | Sometimes | Always or cannot do at all		PDQ-39	Measurement	Staging / Scales			""	CDISC			37550978
312	AMP-PD	pdq39_24_avoid_eat_drink_in_public	PDQ-39-Q24: Avoided situations which involve eating or drinking in public?	Never | Occasionally | Often | Sometimes | Always or cannot do at all		Fear of eating in public	Condition	Clinical Finding			""	SNOMED			4085060
313	AMP-PD	pdq39_25_embarassed_in_public	PDQ-39-Q25: Felt embarrassed in public?	Never | Occasionally | Often | Sometimes | Always or cannot do at all		Embarrassment	Meas Value	Answer	Psychosocial effect of wound odor		""	LOINC			36032879
314	AMP-PD	pdq39_26_worried_about_reactions	PDQ-39-Q26: Felt worried about other people's reaction to you?	Never | Occasionally | Often | Sometimes | Always or cannot do at all		Do you worry more than most people about being embarrassed, looking stupid, or being judged by other people?	Observation	Question	No | Yes		""	PPI			1703891
315	AMP-PD	pdq39_27_close_personal_relations	PDQ-39-Q27: Had problems with your close personal relationships?	Never | Occasionally | Often | Sometimes | Always or cannot do at all		Current View Provisional Problem Description item 23 - peer relationship difficulties	Measurement	Staging / Scales			""	SNOMED			46286521
316	AMP-PD	pdq39_28_support_from_spouse	PDQ-39-Q28: Lacked the support you needed from your spouse or partner?	Never | Occasionally | Often | Sometimes | Always or cannot do at all		Lack of support	Meas Value	Answer	Reason for not participating in remote learning | Reason for not participating in remote learning in last 12 months		""	LOINC			1989984
317	AMP-PD	pdq39_29_support_from_family	PDQ-39-Q29: Lacked the support you needed from your family or close friends?	Never | Occasionally | Often | Sometimes | Always or cannot do at all		Lack of family support	Observation	Clinical Finding			""	SNOMED			45771438
318	AMP-PD	pdq39_30_sleep_in_day	PDQ-39-Q30: Unexpectedly fallen asleep during the day?	Never | Occasionally | Often | Sometimes | Always or cannot do at all		Excessive daytime sleepiness - normal night sleep	Condition	Disorder			""	SNOMED			4044238
319	AMP-PD	pdq39_31_problem_with_concentration	PDQ-39-Q31: Had problems with your concentration, for example when reading or watching TV?	Never | Occasionally | Often | Sometimes | Always or cannot do at all		Impaired concentration	Condition	Clinical Finding			""	SNOMED			600632
320	AMP-PD	pdq39_32_memory_is_failing	PDQ-39-Q32: Felt your memory was failing?	Never | Occasionally | Often | Sometimes | Always or cannot do at all		Memory impairment	Condition	Clinical Finding			""	SNOMED			4304008
321	AMP-PD	pdq39_33_hallucinations	PDQ-39-Q33: Had distressing dreams or hallucinations?	Never | Occasionally | Often | Sometimes | Always or cannot do at all		Unpleasant dream | Hallucinations	Condition | Observation	Clinical Finding | Clinical Finding			""	(picked set)			4304588|433031
322	AMP-PD	pdq39_34_speaking	PDQ-39-Q34: Had difficulty speaking?	Never | Occasionally | Often | Sometimes | Always or cannot do at all		Speech problem	Condition	Clinical Finding			""	SNOMED			4149989
323	AMP-PD	pdq39_35_unable_to_communicate	PDQ-39-Q35: Felt unable to communicate effectively?	Never | Occasionally | Often | Sometimes | Always or cannot do at all		Unable to communicate	Condition	Clinical Finding			""	SNOMED			4120752
324	AMP-PD	pdq39_36_felt_ignored	PDQ-39-Q36: Felt ignored by people?	Never | Occasionally | Often | Sometimes | Always or cannot do at all		Behavior ignored	Observation	Clinical Finding			""	SNOMED			4112996
