cde_id	source	amp_variable	amp_variable_description	amp_value_set	amp_extended_definition_comments	omop_concept_name	domain	omop_concept_class	omop_value_set	omop_value_as_strings	concept_comment	omop_vocab	datatype	units	omop_concept_id
38	AMP-AD	msex	Participant sex	Male | Female | M | F | Unknown	RADC data set 754 (ROSMAP). Self-reported sex, with '1' indicating male sex. Allowable codes: 1=Male; 0=Female.	Sex	Observation	Clinical Observation	Female | Male		""	LOINC			3046965
39	AMP-AD	organ	Organ or tissue type from which biospecimen was collected	Brain | Heart | Liver | Kidney | Lung | Spleen | Blood | CSF | Other		Body structure	Spec Anatomic Site	Body Structure			""	SNOMED			4048384
40	AMP-AD	path_braak_nft	BRAAK stage for neurofibrillary tangle pathology	0 | 1 | 2 | 3 | 4 | 5 | 6 | NA		Braak stage for presence of tau protein accompanying neurofibrillary degeneration in brain	Observation	Observable Entity			""	Nebraska Lexicon			3172933
41	AMP-AD	pmi	Post-Mortem Interval	Continuous value in hours; Range: 0-72 typical	RADC data set 754 (ROSMAP). Post-mortem interval (PMI): time interval in hours from time of death to autopsy. PMI refers to the interval between death and tissue preservation in hours.	Postmortem period	Meas Value	Qualifier Value			""	SNOMED		hours	4121980
42	AMP-AD	projid	Project Identifier	String		Research project	Observation	Qualifier Value			""	SNOMED			44803907
43	AMP-AD	race	Race	White | Black or African American | Native Hawaiian or Other Pacific Islander | Asian | American Indian or Alaska Native | Unknown | Multiracial		Race	Observation	Clinical Observation	American Indian or Alaska Native | American Indian/Alaskan Native | Asian | Asian Indian | Black or African American | Black/African American | I choose not to answer this question | Multiple races | Native Hawaiian | Native Hawaiian or Other Pacific Islander | Other | Other Pacific Islander | Pacific Islander | Prefer not to say | Samoan or Native Hawaiian | Unknown | White		""	LOINC			3046853
45	AMP-AD	sampleStatus	Current status or condition of the biological sample	Available | Depleted | Quarantined | In Use | Pending QC | Failed QC		Specimen condition [Type]	Measurement	Lab Test			""	LOINC			37021329
46	AMP-AD	samplingAge	Age of participant at time of sample collection	Age in years, non-negative numeric value		Age at specimen collection	Observation	Clinical Observation			""	LOINC		years	3034297
47	AMP-AD	samplingAgeUnits	Unit of time measurement for the age at which the biological sample was collected	years | months | days | weeks		Age Unit	Observation	Observable Entity			""	CDISC			37531414
48	AMP-AD	samplingDate	Date when biological sample was collected	ISO 8601 format (YYYY-MM-DD)		Collection date of Specimen	Observation	Clinical Observation			""	LOINC			3045429
49	AMP-AD	spanish	Indicator of Spanish ethnicity or language preference	True | False | 1 | 0	RADC data set 754 (ROSMAP). Spanish/Hispanic/Latino origin. Question: 'Are you of Spanish/Hispanic/Latino origin?' Value coding: 1=Yes; 2=No.	Hispanic: Hispanic Specific	Observation	Question	Chinese | English | I choose not to answer this question | Language other than English | Other | Spanish | Tagalog | Vietnamese		""	PPI/Observation/S			1586156
50	AMP-AD	specimenIdSource	Source system or organization that assigned the specimen identifier	Free text		specimen.specimen_source_id	Metadata	Field			""	CDM			1147059
51	AMP-AD	specimenMetadataSource	Source system or database from which specimen metadata was obtained	Free text or enumerated source identifiers		Specimen source	Observation	Observable Entity			""	SNOMED			45773156
52	AMP-AD	Study	Identifier of the research study or cohort from which the data was collected	Free text or controlled vocabulary of study names		Resource identifier [URI] for Study	Observation	Clinical Observation			""	LOINC			21492138
53	AMP-AD	study_arm	Cohort (PD, healthy control, subjects with Scans Without Evidence of Dopaminergic Deficit [SWEDD], Prodromal, Genetic Cohort PD, or Genetic Cohort Unaffected) determined by the inclusion/exclusion criteria established in the study protocol. A given participant's cohort does not change over time, even if the participant develops or is later found to have characteristics of another cohort .			Clinical trial arm	Observation	Observable Entity			""	SNOMED			618771
54	AMP-AD	tissue	Tissue the biosample is a component of	adipose tissue | liver tissue | muscle tissue | pancreatic tissue | kidney tissue | other		specimen.specimen_concept_id					""				1147051
55	AMP-AD	tissueVolume	Volume of tissue sample measured			Specimen volume measurement	Measurement	Procedure			""	SNOMED		mm^3	4013576
